id,timecreated,eventname,action,target,userid,courseid,other,timestamp
10951099,2023-01-17 16:03:43,\mod_assign\event\course_module_viewed,viewed,course_module,9452,670,,1673971423
10951100,2023-01-17 16:03:43,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9452,670,"{'pathnamehashes': {}, 'content': '***********************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************', 'format': '*'}",1673971423
10951101,2023-01-17 16:03:43,\assignsubmission_onlinetext\event\submission_created,created,submission,9452,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 119, 'groupid': 0, 'groupname': None}",1673971423
10951102,2023-01-17 16:03:43,\mod_assign\event\assessable_submitted,submitted,assessable,9452,670,{'submission_editable': True},1673971423
10951103,2023-01-17 16:03:43,\mod_assign\event\course_module_viewed,viewed,course_module,9452,670,,1673971423
10951104,2023-01-17 16:03:44,\mod_assign\event\submission_status_viewed,viewed,submission_status,9452,670,{'assignid': '****'},1673971424
