id,timecreated,eventname,action,target,userid,courseid,other,timestamp
10888105,2023-01-13 23:21:00,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8965,670,"{'pathnamehashes': {}, 'content': '*******', 'format': 1}",1673652060
10888106,2023-01-13 23:21:00,\assignsubmission_onlinetext\event\submission_created,created,submission,8965,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}",1673652060
10888107,2023-01-13 23:21:00,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8965,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}",1673652060
10888108,2023-01-13 23:21:00,\assignsubmission_file\event\submission_created,created,submission,8965,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}",1673652060
10888109,2023-01-13 23:21:00,\core\event\course_module_completion_updated,updated,course_module_completion,8965,670,"{'relateduserid': 8965, 'overrideby': None, 'completionstate': 1}",1673652060
10888110,2023-01-13 23:21:00,\mod_assign\event\assessable_submitted,submitted,assessable,8965,670,{'submission_editable': True},1673652060
