id,timecreated,eventname,action,target,userid,courseid,other,timestamp
10845285,2023-01-11 14:43:43,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,,1673448223
10845286,2023-01-11 14:43:43,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9169,670,"{'pathnamehashes': {}, 'content': '*****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************', 'format': '*'}",1673448223
10845287,2023-01-11 14:43:43,\assignsubmission_onlinetext\event\submission_created,created,submission,9169,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 164, 'groupid': 0, 'groupname': None}",1673448223
10845288,2023-01-11 14:43:43,\mod_assign\event\assessable_submitted,submitted,assessable,9169,670,{'submission_editable': True},1673448223
10845289,2023-01-11 14:43:43,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,,1673448223
10845290,2023-01-11 14:43:43,\mod_assign\event\submission_status_viewed,viewed,submission_status,9169,670,{'assignid': '***'},1673448223
