state,action,q_value
2_2_True_0.46_2_0.53_1,Stay,-0.6000000000000001
2_2_True_0.44_1_1.00_1,Stay,-2.824719
2_2_True_0.29_2_0.73_1,Go_to_high_level,0.28500000000000003
2_2_True_0.44_1_0.73_1,Next,0.0
2_2_True_0.21_2_0.92_1,Stay,-0.6000000000000001
2_2_True_0.19_2_0.55_1,Go_to_low_level,-0.24000000000000005
2_2_True_0.35_1_1.00_1,Previous,-1.034
2_2_True_0.19_3_1.00_1,Go_to_low_level,-0.5
2_1_False_nan_0_0.47_0,Next,1.0
2_1_False_nan_0_0.47_0,Previous,0.0
2_1_False_nan_0_0.57_0,Go_to_high_level,0.5217031000000001
2_2_True_0.60_3_0.85_1,Go_to_low_level,-0.4
2_2_True_0.57_3_0.48_1,Go_to_high_level,0.0
2_2_True_0.56_2_0.30_1,Previous,-0.3500000000000001
2_2_True_0.61_3_0.25_1,Next,0.0
2_2_True_0.44_2_0.30_1,Previous,-0.32
2_2_True_0.52_2_0.73_1,Go_to_low_level,-0.5
2_1_False_nan_0_0.52_0,Previous,-0.36
2_1_False_nan_0_0.52_0,Next,1.71
2_1_False_nan_0_0.48_0,Go_to_high_level,0.49380310000000005
2_2_True_0.44_2_0.80_1,Stay,-0.33
2_2_True_0.37_2_0.95_1,Go_to_high_level,0.09999999999999998
2_2_True_0.47_3_0.93_1,Go_to_high_level,0.09999999999999998
2_2_True_0.57_1_1.00_1,Go_to_high_level,0.0
2_2_True_0.32_3_0.57_1,Stay,-0.14000000000000004
2_2_True_0.58_1_1.00_1,Go_to_high_level,0.0
2_2_True_0.33_2_0.67_1,Go_to_high_level,0.13
2_2_True_0.46_1_1.00_1,Previous,-0.3719
2_2_True_0.46_3_0.38_1,Go_to_low_level,-0.4
2_2_True_0.45_3_0.80_1,Stay,-0.3
2_2_True_0.55_1_0.80_1,Stay,-0.4
2_1_False_nan_0_0.35_0,Go_to_low_level,0.005831999999999998
2_2_True_0.53_3_0.70_1,Next,-0.036000000000000004
1_3_True_0.52_3_0.70_5,Go_to_high_level,0.0
1_2_True_0.48_3_0.27_3,Previous,0.0
1_3_True_0.41_1_0.42_5,Go_to_high_level,0.0
1_1_False_nan_0_0.20_0,Stay,0.0
1_3_True_0.43_3_0.35_5,Previous,-0.16999999999999998
1_2_True_0.46_2_0.90_4,Previous,0.08000000000000002
1_3_True_0.54_3_0.47_5,Go_to_high_level,0.10999999999999999
1_2_True_0.65_1_0.83_3,Next,0.0
1_2_True_0.48_2_0.20_3,Go_to_high_level,0.16000000000000003
1_2_True_0.64_2_0.97_4,Go_to_low_level,0.0
1_3_True_0.62_1_0.62_5,Stay,-0.6000000000000001
1_3_True_0.36_3_0.72_5,Go_to_low_level,-0.25
0_2_True_0.92_1_0.27_3,Next,0.0
0_3_True_0.69_2_0.82_5,Next,0.07000000000000006
0_2_True_0.76_2_0.50_4,Go_to_high_level,0.0
2_2_True_0.35_3_0.32_1,Stay,-0.6000000000000001
2_2_True_0.34_1_0.68_1,Go_to_low_level,-0.6000000000000001
2_2_True_0.24_3_1.00_1,Go_to_high_level,0.10000000000000005
2_2_True_0.34_2_0.37_1,Stay,-0.34
2_2_True_0.40_3_1.00_1,Stay,-0.4
2_2_True_0.40_3_1.00_1,Next,0.005729400000000002
2_1_False_nan_0_0.30_0,Go_to_high_level,0.2847052
2_2_True_0.48_1_1.00_1,Stay,-0.6000000000000001
2_2_True_0.31_1_0.40_1,Go_to_low_level,-0.32
2_2_True_0.39_2_0.32_1,Next,0.0
0_3_True_0.48_1_0.90_5,Stay,-0.18000000000000005
0_2_True_0.70_3_0.30_3,Stay,-0.4
0_1_False_nan_0_0.22_0,Previous,0.00486
0_1_False_nan_0_0.22_0,Next,0.0
0_1_False_nan_0_0.22_0,Go_to_high_level,0.5086102855898668
0_3_True_0.58_3_0.35_5,Go_to_low_level,-0.33
2_2_True_0.57_3_0.67_1,Go_to_low_level,-0.7555000000000001
2_2_True_0.37_1_0.50_1,Next,0.07069999999999999
2_2_True_0.42_3_0.50_1,Go_to_low_level,-0.567
2_2_True_0.42_3_0.50_1,Stay,-0.6000000000000001
2_2_True_0.55_1_0.27_1,Stay,-1.194
2_2_True_0.46_2_0.57_1,Stay,-1.194
2_2_True_0.43_1_0.77_1,Stay,-1.185
2_2_True_0.43_3_0.43_1,Go_to_low_level,-0.5
2_2_True_0.43_3_0.43_1,Previous,-0.19947512
2_1_False_nan_0_0.50_0,Stay,-0.36
2_1_False_nan_0_0.50_0,Previous,0.006726337199999998
2_1_False_nan_0_0.50_0,Next,0.0
2_2_True_0.32_3_0.87_3,Previous,-0.16999999999999998
2_2_True_0.55_1_0.40_3,Previous,-0.4
2_2_True_0.45_2_0.57_3,Stay,-0.29
2_2_True_0.56_3_0.88_3,Previous,-0.4
2_2_True_0.52_1_0.52_3,Stay,-0.3500000000000001
2_2_True_0.57_2_1.00_3,Previous,-0.4
2_1_False_nan_0_0.72_0,Stay,0.0
2_2_True_0.55_1_0.32_3,Go_to_low_level,-0.76
2_2_True_0.49_3_0.50_3,Go_to_low_level,-0.4
2_2_True_0.43_2_0.68_3,Previous,-0.27999999999999997
2_2_True_0.55_1_0.58_3,Go_to_low_level,-0.4
2_2_True_0.32_2_0.83_3,Stay,-0.9000000000000001
