Cluster,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
4,0.5,0.75,0,0,2,attempt_quiz (past),61.48284216249033
4,0.5,0.75,0,0,6,view_content (current),54.0314313400005
4,0.5,0.75,0,0,5,view_assignment (current),60.50184871709926
4,0.5,0.75,0,0,9,submit_quiz (current),91.23867312494065
4,0.5,0.75,0,0,8,attempt_quiz (current),69.23221615794948
4,0.5,0.75,0,0,10,review_quiz (current),50.296329160171034
4,0.5,0.75,0,0,12,view_content (future),55.9316496512434
4,0.5,0.75,0,0,0,view_assignment (past),60.679543993574825
4,0.5,0.75,0,0,4,post_forum (past),55.97297774559908
4,0.5,0.75,0,0,1,view_content (past),51.78329185752671
4,0.5,0.75,0,0,7,submit_assignment (current),69.58410825896063
4,0.5,0.75,0,0,14,post_forum (future),58.939146235919594
4,0.5,0.75,0,0,3,review_quiz (past),58.49983562006477
4,0.5,0.75,0,0,11,post_forum (current),55.47738388274453
4,0.5,0.75,0,0,13,attempt_quiz (future),61.99400397245255
4,0.75,0.75,0,0,9,submit_quiz (current),69.77058845289945
4,0.75,0.75,0,0,14,post_forum (future),10.455393493814215
4,0.75,0.75,0,0,12,view_content (future),4.916308003879841
4,0.75,0.75,0,0,8,attempt_quiz (current),8.60620175521689
4,0.75,0.75,0,0,1,view_content (past),10.141057958785
4,0.75,0.75,0,0,10,review_quiz (current),11.898101331880008
4,0.75,0.75,0,0,3,review_quiz (past),7.729194610255475
4,0.75,0.75,0,0,11,post_forum (current),9.307305770585616
4,0.75,0.75,0,0,5,view_assignment (current),11.150827207490837
4,0.75,0.75,0,0,4,post_forum (past),8.896469736266319
4,0.75,0.75,0,0,6,view_content (current),12.919350235301387
4,0.75,0.75,0,0,13,attempt_quiz (future),22.60426596663376
4,0.75,0.75,0,0,7,submit_assignment (current),17.816774057211624
4,0.75,0.75,0,0,2,attempt_quiz (past),15.348442489019103
4,0.75,0.75,0,0,0,view_assignment (past),11.600074874821612
4,0.5,0.75,0,1,2,attempt_quiz (past),74.02504620022364
4,0.5,0.75,0,1,1,view_content (past),15.583163636413769
4,0.5,0.75,0,1,12,view_content (future),25.466994078453187
4,0.5,0.75,0,1,5,view_assignment (current),29.361498342949325
4,0.5,0.75,0,1,8,attempt_quiz (current),21.20588238442851
4,0.5,0.75,0,1,11,post_forum (current),21.508808470199234
4,0.5,0.75,0,1,3,review_quiz (past),37.77817291456407
4,0.5,0.75,0,1,14,post_forum (future),24.40838495771363
4,0.5,0.75,0,1,6,view_content (current),19.814637884508265
4,0.5,0.75,0,1,13,attempt_quiz (future),32.06685505010053
4,0.5,0.75,0,1,4,post_forum (past),13.598514697362686
4,0.5,0.75,0,1,0,view_assignment (past),13.308432605992708
4,0.5,0.75,0,1,9,submit_quiz (current),29.29791775760134
4,0.5,0.75,0,1,10,review_quiz (current),18.469482175030674
4,0.5,0.75,0,1,7,submit_assignment (current),48.615787166100354
4,0.75,0.75,2,1,12,view_content (future),10.825919622729144
4,0.75,0.75,2,1,4,post_forum (past),6.5759109240036375
4,0.75,0.75,2,1,2,attempt_quiz (past),10.910693254368308
4,0.75,0.75,2,1,7,submit_assignment (current),64.78117450517709
4,0.75,0.75,2,1,8,attempt_quiz (current),6.033086995532635
4,0.75,0.75,2,1,10,review_quiz (current),14.758894680486478
4,0.75,0.75,2,1,11,post_forum (current),7.065646268105803
4,0.75,0.75,2,1,0,view_assignment (past),11.365633090843751
4,0.75,0.75,2,1,6,view_content (current),13.681552090573303
4,0.75,0.75,2,1,9,submit_quiz (current),14.022450956074636
4,0.75,0.75,2,1,14,post_forum (future),12.049840578623463
4,0.75,0.75,2,1,5,view_assignment (current),7.8740087589324315
4,0.75,0.75,2,1,13,attempt_quiz (future),21.29140293007319
4,0.75,0.75,2,1,1,view_content (past),4.910284268159984
4,0.75,0.75,2,1,3,review_quiz (past),19.692401434353297
4,1.0,0.75,0,1,7,submit_assignment (current),14.894322051403346
4,1.0,0.75,0,1,11,post_forum (current),4.401487979104398
4,1.0,0.75,0,1,10,review_quiz (current),6.715234673634586
4,1.0,0.75,0,1,0,view_assignment (past),7.364302955308624
4,1.0,0.75,0,1,1,view_content (past),0.5374477804672628
4,1.0,0.75,0,1,12,view_content (future),4.730239385181527
4,1.0,0.75,0,1,13,attempt_quiz (future),12.784319332589032
4,1.0,0.75,0,1,5,view_assignment (current),6.018188753314926
4,1.0,0.75,0,1,14,post_forum (future),16.601232943112727
4,1.0,0.75,0,1,2,attempt_quiz (past),47.888511649797636
4,1.0,0.75,0,1,6,view_content (current),3.196920601167392
4,1.0,0.75,0,1,9,submit_quiz (current),8.796935871147141
4,1.0,0.75,0,1,3,review_quiz (past),0.484555491897994
4,1.0,0.75,0,1,8,attempt_quiz (current),8.822895631273465
4,0.75,1.0,1,0,14,post_forum (future),0.8275180094049559
4,0.75,1.0,1,0,6,view_content (current),0.9435445559069594
4,0.75,1.0,1,0,13,attempt_quiz (future),10.646380568142847
4,0.75,1.0,1,0,0,view_assignment (past),4.741043500700038
4,0.75,1.0,1,0,10,review_quiz (current),6.627786901957336
4,0.75,1.0,1,0,4,post_forum (past),4.213043504824771
4,0.75,1.0,1,0,11,post_forum (current),3.1366161139995574
4,0.75,1.0,1,0,7,submit_assignment (current),27.993299793529456
4,0.75,1.0,1,0,8,attempt_quiz (current),5.292631308557704
4,0.75,1.0,1,0,2,attempt_quiz (past),0.9714980740545218
4,0.75,1.0,1,0,3,review_quiz (past),7.895448036145972
4,0.75,1.0,1,0,9,submit_quiz (current),3.122375485512987
4,0.75,1.0,1,0,12,view_content (future),4.371081559923815
4,0.75,1.0,1,0,5,view_assignment (current),6.127619014242607
4,1.0,1.0,2,2,4,post_forum (past),40.610076613068514
4,1.0,1.0,2,2,11,post_forum (current),32.51617608715103
4,1.0,1.0,2,2,12,view_content (future),63.153050766725606
4,1.0,1.0,2,2,1,view_content (past),47.31707170812876
4,1.0,1.0,2,2,9,submit_quiz (current),47.83737040147148
4,1.0,1.0,2,2,7,submit_assignment (current),94.02332066791357
4,1.0,1.0,2,2,2,attempt_quiz (past),47.334355786099515
4,1.0,1.0,2,2,6,view_content (current),56.463995205912475
4,1.0,1.0,2,2,8,attempt_quiz (current),31.702638216401194
4,1.0,1.0,2,2,13,attempt_quiz (future),39.924208660067116
4,1.0,1.0,2,2,3,review_quiz (past),38.04792230892881
4,1.0,1.0,2,2,14,post_forum (future),31.381246426018013
4,1.0,1.0,2,2,5,view_assignment (current),49.03343229308178
4,1.0,1.0,2,2,0,view_assignment (past),36.20410732035192
4,1.0,1.0,2,2,10,review_quiz (current),50.448164115385744
4,1.0,0.75,2,1,7,submit_assignment (current),62.625623941555794
4,1.0,0.75,2,1,3,review_quiz (past),8.494594453195068
4,1.0,0.75,2,1,8,attempt_quiz (current),17.092106162614414
4,1.0,0.75,2,1,9,submit_quiz (current),13.577595735634294
4,1.0,0.75,2,1,2,attempt_quiz (past),20.224520744360625
4,1.0,0.75,2,1,0,view_assignment (past),10.203961321988093
4,1.0,0.75,2,1,5,view_assignment (current),7.08408513179968
4,1.0,0.75,2,1,4,post_forum (past),9.041161178615289
4,1.0,0.75,2,1,11,post_forum (current),6.271173045336093
4,1.0,0.75,2,1,14,post_forum (future),9.782374446696576
4,1.0,0.75,2,1,12,view_content (future),2.4419388839615173
4,1.0,0.75,2,1,10,review_quiz (current),20.609059831376907
4,1.0,0.75,2,1,1,view_content (past),2.1408493165762366
4,1.0,0.75,2,1,13,attempt_quiz (future),16.011969892385434
4,1.0,0.75,2,1,6,view_content (current),9.687191901261171
4,1.0,0.75,0,0,8,attempt_quiz (current),0.34235863770664565
4,1.0,0.75,0,0,12,view_content (future),0.10663575646570507
4,1.0,0.75,0,0,7,submit_assignment (current),19.394578651976527
4,1.0,0.75,0,0,14,post_forum (future),0.5683027115938516
4,1.0,0.75,0,0,10,review_quiz (current),0.4492335810245575
4,1.0,0.75,0,0,2,attempt_quiz (past),4.7269354600490665
0,0.75,0.25,2,2,9,submit_quiz (current),35.42308295879634
0,0.75,0.25,2,2,0,view_assignment (past),5.999729000511285
0,0.75,0.25,2,2,10,review_quiz (current),3.3813778103304473
0,0.75,0.25,2,2,1,view_content (past),8.41212772130788
0,0.75,0.25,2,2,2,attempt_quiz (past),16.602120510413602
0,0.75,0.25,2,2,7,submit_assignment (current),19.437812193343373
0,0.75,0.25,2,2,12,view_content (future),6.865480738333099
0,0.75,0.25,2,2,5,view_assignment (current),7.163089826479059
0,0.75,0.25,2,2,11,post_forum (current),3.200969235853424
0,0.75,0.25,2,2,3,review_quiz (past),10.212746044088181
0,0.75,0.25,2,2,8,attempt_quiz (current),17.517011152936988
0,0.75,0.25,2,2,13,attempt_quiz (future),17.854067186109255
0,1.0,0.5,0,1,4,post_forum (past),6.596324805710541
0,1.0,0.5,0,1,13,attempt_quiz (future),14.007593390270232
0,1.0,0.5,0,1,3,review_quiz (past),1.767630093941023
0,1.0,0.5,0,1,12,view_content (future),7.334213606220892
0,1.0,0.5,0,1,5,view_assignment (current),21.810359534648033
0,1.0,0.5,0,1,11,post_forum (current),0.25188728838659574
0,1.0,0.5,0,1,9,submit_quiz (current),13.48657493997144
0,1.0,0.5,0,1,6,view_content (current),10.503423744835183
0,1.0,0.5,0,1,7,submit_assignment (current),12.095360993886123
0,1.0,0.5,0,1,2,attempt_quiz (past),17.64535373846848
0,1.0,0.5,0,1,0,view_assignment (past),0.9045195406314401
0,1.0,0.5,0,1,8,attempt_quiz (current),57.72914192522065
0,1.0,0.5,0,1,1,view_content (past),3.1079762336873444
0,1.0,0.5,0,1,10,review_quiz (current),17.196825531262263
0,1.0,1.0,0,2,2,attempt_quiz (past),0.28466546598600334
0,1.0,1.0,0,2,6,view_content (current),0.31979660456755465
0,1.0,1.0,0,2,13,attempt_quiz (future),29.82455058663914
0,1.0,1.0,0,2,10,review_quiz (current),3.4263076066694595
0,1.0,1.0,0,2,8,attempt_quiz (current),12.191338725532095
0,1.0,1.0,0,2,1,view_content (past),1.8122657683883232
0,1.0,1.0,0,2,7,submit_assignment (current),30.73175083692167
0,1.0,1.0,0,2,3,review_quiz (past),6.376514962917618
0,0.75,0.25,0,1,8,attempt_quiz (current),66.93265761117615
0,0.75,0.25,0,1,6,view_content (current),9.174234673518267
0,0.75,0.25,0,1,12,view_content (future),10.74154820525143
0,0.75,0.25,0,1,0,view_assignment (past),5.71551108369178
0,0.75,0.25,0,1,11,post_forum (current),7.095964636350063
0,0.75,0.25,0,1,5,view_assignment (current),0.5346051334997455
0,0.75,0.25,0,1,1,view_content (past),14.459242562235698
0,0.75,0.25,0,1,9,submit_quiz (current),11.539298602380796
0,0.75,0.25,0,1,3,review_quiz (past),6.939040924552094
0,0.75,0.25,0,1,2,attempt_quiz (past),4.077806407499812
0,0.75,0.25,0,1,10,review_quiz (current),4.603752645782891
0,0.75,0.25,0,1,4,post_forum (past),15.929895589538205
0,0.75,0.25,0,1,7,submit_assignment (current),18.00515590064305
0,0.75,0.25,0,1,14,post_forum (future),3.144744836905081
0,0.75,0.25,0,1,13,attempt_quiz (future),15.906361063118332
0,0.75,0.5,2,1,5,view_assignment (current),37.9758424206751
0,0.75,0.5,2,1,1,view_content (past),18.855112469917508
0,0.75,0.5,2,1,0,view_assignment (past),31.824783226144106
0,0.75,0.5,2,1,11,post_forum (current),25.983423882851916
0,0.75,0.5,2,1,8,attempt_quiz (current),11.361984533630704
0,0.75,0.5,2,1,14,post_forum (future),22.446833081121053
0,0.75,0.5,2,1,7,submit_assignment (current),89.71209448347278
0,0.75,0.5,2,1,4,post_forum (past),40.59194089208262
0,0.75,0.5,2,1,6,view_content (current),13.6082260122461
0,0.75,0.5,2,1,10,review_quiz (current),21.015279517883805
0,0.75,0.5,2,1,12,view_content (future),26.092664792267236
0,0.75,0.5,2,1,2,attempt_quiz (past),46.39663213858118
0,0.75,0.5,2,1,3,review_quiz (past),25.95110219224162
0,0.75,0.5,2,1,13,attempt_quiz (future),32.282223556666736
