Cluster,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
4,0.25,1.0,1,2,7,submit_assignment (current),4.362901365974518
4,0.25,1.0,1,2,0,view_assignment (past),2.2626745325496804
4,0.25,1.0,1,2,3,review_quiz (past),8.297132879342731
4,0.25,1.0,1,2,9,submit_quiz (current),7.101548071732203
4,0.25,1.0,1,2,13,attempt_quiz (future),4.307631742379245
4,0.25,1.0,1,2,11,post_forum (current),2.3317661099574183
4,0.25,1.0,1,2,10,review_quiz (current),2.7239691727020583
4,0.25,1.0,1,2,1,view_content (past),3.737432087265133
4,0.25,1.0,1,2,4,post_forum (past),3.4072439379278467
4,0.25,1.0,1,2,12,view_content (future),0.6736798254769844
4,0.25,1.0,1,2,14,post_forum (future),1.4192700174590707
4,0.25,1.0,1,2,6,view_content (current),1.5388651138992078
4,0.25,1.0,1,2,5,view_assignment (current),3.2877721402221356
4,0.25,1.0,1,2,2,attempt_quiz (past),2.2933961710135056
4,0.25,1.0,1,2,8,attempt_quiz (current),1.8918023190121755
4,0.25,1.0,0,2,6,view_content (current),0.9201357977270296
4,0.25,1.0,0,2,12,view_content (future),0.43890396831140316
4,0.25,1.0,0,2,3,review_quiz (past),0.10194879999999999
4,0.25,1.0,0,2,11,post_forum (current),0.2228488
4,0.25,1.0,0,2,14,post_forum (future),0.1088365048
4,0.25,1.0,0,2,1,view_content (past),0.08
4,0.25,1.0,0,2,4,post_forum (past),0.2708123206272543
4,0.25,1.0,0,2,8,attempt_quiz (current),0.6247702765710778
4,0.5,1.0,1,2,13,attempt_quiz (future),1.1251456
4,0.5,1.0,1,2,1,view_content (past),0.24292480000000002
4,0.5,1.0,1,2,14,post_forum (future),0.12381129999999999
4,0.5,1.0,0,2,7,submit_assignment (current),0.5648000000000001
