userid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster
8609,1.0538939224415926,0.048179476654906295,0.002561912170152575,1.134582922776524,-0.07897356773004843,-0.3699029718192393,0.001986762586646515,-0.17546491413774898,-0.2028976922084357,-0.028593770247713132,0
8670,0.17099944490871202,1.8143603433384843,0.2532223253980007,-0.028444998134845238,-0.3572959306388158,0.35318491256043993,0.1511661598773769,-0.1062513438702224,0.13857897952059078,0.12736291286207618,0
8671,-1.7661594185628364,-0.26973329116024064,-0.2214867843762016,0.27226247109931384,0.2510891427249514,0.27352484411594574,0.2203562253248979,-0.5385042656755805,0.3421670305471772,0.14749028258616115,1
8860,-1.515044033344654,-0.315093674887092,0.09750916629886207,0.01113118578425298,0.17671888583900702,-0.2511580547819054,0.01852517775355572,0.1855228163872846,0.247659891444621,-0.17339703808368964,1
8964,-1.604137723425296,0.2797652755745567,1.045241401486356,-0.15984760487320443,0.02062060645263676,-0.39270289677594505,-0.2096924459011216,0.10482918164011695,-0.45039592698458536,0.06651849571709817,1
9043,0.33572065184008926,0.17472431990853168,-0.15579029771587694,0.056804958515797734,0.02760289442426439,-0.039671143352601704,-0.1271656956705735,-0.05727440791510721,-0.18744856785228045,-0.5085699278101894,0
9109,1.008187046133877,-0.4415691582045874,0.568506723256296,-0.1506668948931347,0.47685942368162443,0.7920610333634915,-0.4637277954902082,-0.11123557590647824,-0.12754694583509543,0.040352976022847174,0
9146,0.7925855411993026,-0.12092231989496478,-0.32291366894813683,-0.6759876187871179,-0.4347303716598474,-0.5659766462204224,-0.33929110584646105,-0.2856980663899963,0.17256236855453316,0.19459090330626252,0
9151,0.10289132730664294,0.08068395040303188,-0.23103174142752475,0.46395431115118413,0.07925137638892651,-0.04333417716490759,-0.5199113030295179,0.4831526483272001,0.4690180528649628,0.12991139711319222,0
9152,0.11310189259887748,0.4876614003283204,-0.552392596759487,-0.39838777317078633,0.39964702633495464,0.04629925130907657,0.2626984801555038,0.3520138055667928,0.04885834878983029,-0.3115390620891405,0
9169,0.2809913719526657,-0.05004303009821266,-0.6103971491374661,-0.041666528660164015,0.47675473137319824,-0.07808099839709698,0.3724741725566223,0.2439821853136954,-0.43868808680191723,0.45731465541743926,0
9183,0.022983743262386506,-0.041209957797859124,-0.52870999458019,-0.2841702839965572,0.18551887627379954,-0.10050884258290649,-0.28176030980983174,-0.3413113387748624,-0.10971275155413329,-0.04985333971089495,0
9220,1.427562076363949,-0.46576300984051355,0.909788960278198,-0.18150558637728642,0.184307431499725,-0.26476147954349327,0.5901318830497828,-0.05976783933834495,0.3465979407991828,-0.03711766841936074,0
9227,-0.31473862379954765,-0.5063675073997108,-0.31965225236894795,0.040051856554556876,-0.6569594258539265,0.3077756681112156,0.24041396126603723,-0.13329483962423838,-0.25288109667051745,-0.14688854557346162,0
9260,-0.1088372188757624,-0.6746728169246506,0.06554399642596545,-0.05811041698853229,-0.7504110991104497,0.3332515011783479,0.08379583317729067,0.4393019543974879,0.004128455386065917,0.09241772890937347,0
