Cluster,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
4,1.0,1.0,1,2,5,view_assignment (current),7.419726011257985
4,1.0,1.0,1,2,1,view_content (past),5.738730177052455
4,1.0,1.0,1,2,6,view_content (current),8.136224547426167
4,1.0,1.0,1,2,4,post_forum (past),6.352107611792343
4,1.0,1.0,1,2,8,attempt_quiz (current),7.757011517019582
4,1.0,1.0,1,2,14,post_forum (future),7.847071156127321
4,1.0,1.0,1,2,3,review_quiz (past),9.67737368292802
4,1.0,1.0,1,2,9,submit_quiz (current),9.959368230959896
4,1.0,1.0,1,2,12,view_content (future),5.932310806173318
4,1.0,1.0,1,2,10,review_quiz (current),11.703942242124267
4,1.0,1.0,1,2,2,attempt_quiz (past),6.653115665084043
4,0.75,1.0,0,2,0,view_assignment (past),6.89267269901243
4,0.75,1.0,0,2,1,view_content (past),9.329903871792549
4,0.75,1.0,0,2,11,post_forum (current),6.28436594905319
4,0.75,1.0,0,2,13,attempt_quiz (future),11.446726908517508
4,0.75,1.0,0,2,9,submit_quiz (current),11.09627595381761
4,0.75,1.0,0,2,3,review_quiz (past),6.01683569205762
4,0.75,1.0,0,2,8,attempt_quiz (current),11.742165270970924
4,0.75,1.0,0,2,5,view_assignment (current),8.159460438438852
4,0.75,1.0,0,2,12,view_content (future),8.070298077656169
4,0.75,1.0,0,2,7,submit_assignment (current),19.96625585297737
4,0.75,1.0,0,2,2,attempt_quiz (past),9.776622663978788
4,0.75,1.0,0,2,14,post_forum (future),9.217489756173473
4,0.75,1.0,0,2,6,view_content (current),8.891484282162855
4,0.75,1.0,0,2,4,post_forum (past),5.659955458878359
4,0.75,1.0,0,2,10,review_quiz (current),4.551379323257629
4,0.25,0.75,0,2,12,view_content (future),1.8158136056939496
4,0.25,0.75,0,2,14,post_forum (future),0.32506206736471344
4,0.25,0.75,0,2,8,attempt_quiz (current),4.882552063152742
4,0.25,0.75,0,2,7,submit_assignment (current),26.129039133132853
4,0.25,0.75,0,2,13,attempt_quiz (future),1.6919152995622926
4,0.25,0.75,0,2,9,submit_quiz (current),10.83028298434604
4,0.25,0.75,0,2,0,view_assignment (past),3.818817441159961
4,0.25,0.75,0,2,11,post_forum (current),2.4427184583380086
4,0.25,0.75,0,2,3,review_quiz (past),1.5735100749418587
4,0.25,0.75,0,2,5,view_assignment (current),4.342108913679519
4,0.25,0.75,0,2,4,post_forum (past),3.395573815461612
4,0.25,0.75,0,2,10,review_quiz (current),1.308998165157409
4,0.25,0.75,0,2,1,view_content (past),0.9726641811940966
4,0.25,0.75,0,2,2,attempt_quiz (past),5.863725842195301
4,0.25,0.75,0,2,6,view_content (current),1.713951239760419
4,1.0,1.0,0,2,6,view_content (current),0.7517358781234993
4,1.0,1.0,0,2,8,attempt_quiz (current),8.189992767578335
4,1.0,1.0,0,2,0,view_assignment (past),2.0058785414478812
4,1.0,1.0,0,2,2,attempt_quiz (past),2.1832438972706005
4,1.0,1.0,0,2,1,view_content (past),2.3031314124128435
4,1.0,1.0,0,2,14,post_forum (future),1.7364844925731622
4,1.0,1.0,0,2,12,view_content (future),1.1300989664359817
4,1.0,1.0,0,2,4,post_forum (past),1.3787003361372472
4,1.0,1.0,0,2,9,submit_quiz (current),1.7229762451968
4,1.0,1.0,0,2,11,post_forum (current),0.7355773606701385
4,1.0,1.0,0,2,7,submit_assignment (current),0.6667488
4,1.0,1.0,0,2,10,review_quiz (current),0.2494641260489245
4,1.0,1.0,0,2,13,attempt_quiz (future),1.7424702540627943
4,1.0,1.0,0,2,3,review_quiz (past),1.1218655749241622
4,1.0,1.0,0,2,5,view_assignment (current),1.2783115129621927
4,0.75,1.0,2,2,6,view_content (current),0.6766380993387405
4,0.75,1.0,2,2,10,review_quiz (current),2.59424680086557
4,0.75,1.0,2,2,13,attempt_quiz (future),5.203337321352553
4,0.75,1.0,2,2,3,review_quiz (past),1.4677411089521062
4,0.75,1.0,2,2,5,view_assignment (current),1.6094621992459555
4,0.75,1.0,2,2,4,post_forum (past),2.439264031572775
4,0.75,1.0,2,2,12,view_content (future),0.7467427370704995
4,0.75,1.0,2,2,2,attempt_quiz (past),11.014218164064335
4,0.75,1.0,2,2,9,submit_quiz (current),2.1424753246280517
4,0.75,1.0,2,2,11,post_forum (current),1.676226224521612
4,0.75,1.0,2,2,0,view_assignment (past),1.8040474234435302
4,0.75,1.0,2,2,7,submit_assignment (current),2.6687289201859374
4,0.75,1.0,2,2,14,post_forum (future),0.8295941935340355
4,0.75,1.0,2,2,1,view_content (past),0.1835266470902104
4,0.75,1.0,2,2,8,attempt_quiz (current),0.846846401740915
4,0.5,0.75,1,2,7,submit_assignment (current),13.239111205831463
