id,timemodified,userid,courseid,finalgrade,itemtype
318945,1669293411,8609,42,-1,mod
318944,1669293411,8609,42,-1,mod
318942,1669293411,8609,42,-1,mod
318939,1669293411,8609,42,-1,mod
318938,1669293411,8609,42,-1,mod
318937,1669293411,8609,42,-1,mod
318936,1669293411,8609,42,-1,mod
318935,1669293411,8609,42,-1,mod
318934,1669293411,8609,42,-1,mod
318933,1669293411,8609,42,-1,mod
318932,1669293411,8609,42,-1,mod
318924,1669293411,8609,42,-1,category
318923,1669293411,8609,42,-1,category
318922,1669293411,8609,42,-1,category
318921,1669293411,8609,42,-1,category
318920,1673965903,8609,42,9,course
318919,1671698185,8609,42,10,mod
318850,1674569681,9155,42,-1,course
318845,1673440487,9151,42,9,mod
318844,1672833874,9151,42,9,mod
318843,1669293416,9151,42,-1,mod
318842,1667301002,9151,42,6,mod
318840,1673441975,9151,42,9,mod
318839,1666691623,9151,42,8,mod
318832,1673439741,9151,42,9,mod
318831,1673439611,9151,42,9,mod
318830,1673351252,9151,42,10,mod
318829,1669293416,9151,42,-1,mod
318828,1669293416,9151,42,-1,mod
318827,1669293416,9151,42,-1,mod
318826,1669293416,9151,42,-1,mod
318824,1669293416,9151,42,-1,mod
318822,1669293416,9151,42,-1,mod
318820,1669293416,9151,42,-1,mod
318819,1669293416,9151,42,-1,mod
318816,1669293416,9151,42,-1,mod
318815,1669293416,9151,42,-1,mod
318814,1669293416,9151,42,-1,mod
318813,1669293416,9151,42,-1,mod
318812,1669293416,9151,42,-1,mod
318809,1669293416,9151,42,-1,mod
318808,1669293416,9151,42,-1,mod
318803,1669293416,9151,42,-1,mod
318802,1669293416,9151,42,-1,mod
318801,1669293416,9151,42,-1,mod
318800,1669293416,9151,42,-1,mod
318799,1669293416,9151,42,-1,mod
318798,1669293416,9151,42,-1,mod
318796,1669293416,9151,42,-1,mod
318793,1669293416,9151,42,-1,mod
318792,1669293416,9151,42,-1,mod
318791,1669293416,9151,42,-1,mod
318790,1669293416,9151,42,-1,mod
318789,1669293416,9151,42,-1,mod
318788,1669293416,9151,42,-1,mod
318787,1669293416,9151,42,-1,mod
318786,1669293416,9151,42,-1,mod
318778,1669293416,9151,42,-1,category
318777,1669293416,9151,42,-1,category
318776,1669293416,9151,42,-1,category
318775,1669293416,9151,42,-1,category
318774,1673973190,9151,42,8,course
318773,1665138131,9151,42,7,mod
318772,1669293287,9131,42,-1,mod
318771,1669293287,9131,42,-1,mod
318770,1669293287,9131,42,-1,mod
318769,1666879023,9131,42,6,mod
318763,1669293287,9131,42,-1,mod
318759,1669293286,9131,42,-1,mod
318758,1669293286,9131,42,-1,mod
318757,1669293286,9131,42,-1,mod
318756,1669293286,9131,42,-1,mod
318755,1669293286,9131,42,-1,mod
318754,1669293286,9131,42,-1,mod
318753,1669293286,9131,42,-1,mod
318751,1669293286,9131,42,-1,mod
318747,1669293286,9131,42,-1,mod
318746,1669293286,9131,42,-1,mod
318743,1669293286,9131,42,-1,mod
318742,1669293286,9131,42,-1,mod
318741,1669293286,9131,42,-1,mod
318740,1669293286,9131,42,-1,mod
318739,1669293286,9131,42,-1,mod
318737,1669293286,9131,42,-1,mod
318736,1669293286,9131,42,-1,mod
318735,1669293286,9131,42,-1,mod
318730,1669293286,9131,42,-1,mod
318729,1669293286,9131,42,-1,mod
318728,1669293286,9131,42,-1,mod
318727,1669293286,9131,42,-1,mod
318726,1669293286,9131,42,-1,mod
318725,1669293286,9131,42,-1,mod
318723,1669293286,9131,42,-1,mod
318720,1669293286,9131,42,-1,mod
318719,1669293286,9131,42,-1,mod
318718,1669293286,9131,42,-1,mod
318717,1669293286,9131,42,-1,mod
318716,1669293286,9131,42,-1,mod
318715,1669293286,9131,42,-1,mod
318714,1669293286,9131,42,-1,mod
318713,1669293286,9131,42,-1,mod
318705,1669293286,9131,42,-1,category
318704,1669293286,9131,42,-1,category
318703,1669293286,9131,42,-1,category
318702,1669293286,9131,42,-1,category
318701,1674569681,9131,42,-1,course
318700,1666691279,9131,42,2,mod
318699,1672834391,9260,42,10,mod
318698,1673347236,9260,42,10,mod
318697,1669292078,9260,42,-1,mod
318696,1667301064,9260,42,4,mod
318694,1672833647,9260,42,10,mod
318693,1666258578,9260,42,10,mod
318690,1665473949,9260,42,9,mod
318689,1671782409,9260,42,10,mod
318688,1671778018,9260,42,10,mod
318683,1669292078,9260,42,-1,mod
318682,1669292078,9260,42,-1,mod
318681,1669292078,9260,42,-1,mod
318680,1669292078,9260,42,-1,mod
318678,1669292078,9260,42,-1,mod
318676,1669292078,9260,42,-1,mod
318674,1669292078,9260,42,-1,mod
318673,1669292078,9260,42,-1,mod
318670,1669292078,9260,42,-1,mod
318669,1669292078,9260,42,-1,mod
318668,1669292078,9260,42,-1,mod
318667,1669292078,9260,42,-1,mod
318666,1669292078,9260,42,-1,mod
318662,1669292078,9260,42,-1,mod
318657,1669292078,9260,42,-1,mod
318656,1669292078,9260,42,-1,mod
318655,1669292078,9260,42,-1,mod
318654,1669292078,9260,42,-1,mod
318653,1669292078,9260,42,-1,mod
318652,1669292078,9260,42,-1,mod
318650,1669292078,9260,42,-1,mod
318647,1669292078,9260,42,-1,mod
318646,1669292078,9260,42,-1,mod
318645,1669292078,9260,42,-1,mod
318644,1669292078,9260,42,-1,mod
318643,1669292078,9260,42,-1,mod
318642,1669292078,9260,42,-1,mod
318641,1669292078,9260,42,-1,mod
318640,1669292078,9260,42,-1,mod
318632,1669292078,9260,42,-1,category
318631,1669292078,9260,42,-1,category
318630,1669292078,9260,42,-1,category
318629,1669292078,9260,42,-1,category
318628,1673965903,9260,42,7,course
318627,1671699411,9260,42,10,mod
