Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get login page,20,120,113,135,5.39,0.000%,1.04728,19.64,0.14,19204.0
Login,20,422,374,483,20.11,0.000%,.41738,88.45,0.42,216994.0
test login,20,320,285,371,16.76,0.000%,.27854,58.07,0.15,213471.1
View Chủ đề 1,53,314,274,613,54.02,0.000%,.06502,16.85,0.02,265395.0
View Section 1,15,310,280,371,23.07,0.000%,.12969,40.78,0.04,321959.0
View Bài 1,22,258,240,297,13.66,0.000%,.19236,36.58,0.06,194731.0
View pdf bai 1,30,646,461,3280,497.92,0.000%,.20619,1134.51,0.07,5634395.0
Start Quiz 1,5,346,329,389,21.96,0.000%,.09203,14.44,0.06,160617.2
View video 1,16,270,258,299,10.30,0.000%,.13342,20.70,0.04,158862.0
Get bộ câu hỏi easy 1,20,287,266,345,22.06,0.000%,.13093,20.26,0.05,158467.8
Start Quiz easy bai 1,15,407,320,627,113.02,0.000%,.13888,21.76,0.09,160460.3
Submit câu 1,28,354,331,394,15.86,0.000%,.05151,8.08,0.04,160626.4
Submit câu 2,28,359,328,487,27.17,0.000%,.05277,8.28,0.04,160622.3
Submit câu 3,28,349,328,418,16.33,0.000%,.05406,8.48,0.05,160622.3
Submit Quiz,35,364,342,433,16.71,0.000%,.06918,11.18,0.05,165501.6
Set grade,20,263,215,453,45.80,0.000%,.03604,5.61,0.02,159332.5
Debug Sampler,20,0,0,2,0.56,0.000%,.03802,0.03,0.00,939.9
View Grade,15,296,279,327,13.76,0.000%,.16785,40.19,0.05,245203.6
View bài 2,45,267,243,479,36.28,0.000%,.09788,18.59,0.03,194483.0
View pdf bai 2,83,661,477,2813,300.99,0.000%,.18465,1159.38,0.06,6429496.0
View video bai 1,38,294,251,927,107.66,0.000%,.09229,14.32,0.03,158862.0
Start Quiz easy bài 2,7,401,346,493,43.44,0.000%,.12998,20.31,0.08,160041.3
Start Quiz medium bài 2,8,399,364,450,27.01,0.000%,.05673,8.87,0.04,160096.0
Get bộ câu hỏi medium bài 2,8,275,266,284,6.62,0.000%,.05713,8.82,0.02,158130.0
View video bai 2,8,294,262,414,46.67,0.000%,.06425,9.97,0.02,158886.0
TOTAL,607,366,0,3280,227.17,0.000%,.69292,880.31,0.31,1300935.9
