id,timecreated,eventname,action,target,userid,courseid,other
10477801,2022-12-12 15:54:58,\assignsubmission_onlinetext\event\submission_created,created,submission,9220,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
10477802,2022-12-12 15:54:58,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,9220,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
10477803,2022-12-12 15:54:58,\assignsubmission_file\event\submission_created,created,submission,9220,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
10477804,2022-12-12 15:54:59,\core\event\course_module_completion_updated,updated,course_module_completion,9220,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}"
10477805,2022-12-12 15:54:59,\mod_assign\event\assessable_submitted,submitted,assessable,9220,670,{'submission_editable': True}
10477806,2022-12-12 15:54:59,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
10477807,2022-12-12 15:54:59,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
10478805,2022-12-12 17:11:26,\core\event\course_viewed,viewed,course,9220,670,
10478944,2022-12-12 17:14:59,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
10478945,2022-12-12 17:15:00,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
10479027,2022-12-12 17:22:15,\core\event\course_viewed,viewed,course,9220,670,
10479029,2022-12-12 17:22:43,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
10479030,2022-12-12 17:22:43,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
10479032,2022-12-12 17:22:55,\core\event\course_viewed,viewed,course,9220,670,
10479041,2022-12-12 17:26:28,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
10479042,2022-12-12 17:26:28,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '***'}
10479043,2022-12-12 17:26:31,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
10479044,2022-12-12 17:26:32,\mod_assign\event\submission_form_viewed,viewed,submission_form,9220,670,{'assignid': '***'}
10479045,2022-12-12 17:26:50,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
10479046,2022-12-12 17:26:50,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9220,670,"{'pathnamehashes': {}, 'content': '****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************', 'format': '*'}"
10479047,2022-12-12 17:26:50,\assignsubmission_onlinetext\event\submission_created,created,submission,9220,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 95, 'groupid': 0, 'groupname': None}"
10479048,2022-12-12 17:26:50,\mod_assign\event\assessable_submitted,submitted,assessable,9220,670,{'submission_editable': True}
10479049,2022-12-12 17:26:50,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
