id,timemodified,userid,courseid,finalgrade,itemtype
344717,1674567497,9155,670,-1,course
344716,1674567497,9131,670,-1,course
344715,1674567497,8964,670,-1,course
344714,1674567497,9109,670,8,course
344713,1674567497,9220,670,7,course
344712,1674567497,8965,670,-1,course
344711,1674567497,9146,670,7,course
344710,1674567497,9151,670,8,course
344709,1674566428,9270,2869,-1,course
344708,1674565683,9281,2214,-1,course
344707,1674565189,10112,2975,-1,mod
344706,1674564839,7910,879,8,course
344705,1674564839,8012,879,6,course
344704,1674564839,7416,879,9,course
344703,1674564838,8723,879,8,course
344702,1674564838,7977,879,8,course
344701,1674564838,9328,879,8,course
344700,1674564490,7960,2445,7,course
344699,1674563598,9880,2969,9,course
344698,1674563598,9167,2969,9,course
344697,1674563598,10087,2969,8,course
344696,1674563598,7011,2969,9,course
344695,1674563598,10071,2969,9,course
344694,1674563598,10084,2969,8,course
344693,1674563598,9961,2969,8,course
344692,1674563598,8219,2969,8,course
344691,1674563598,8538,2969,9,course
344690,1674563598,7315,2969,9,course
344689,1674563591,9033,1759,6,course
344688,1674563591,9288,1759,8,course
344687,1674563591,9196,1759,4,course
344686,1674563591,9103,1759,8,course
344685,1674563591,9308,1759,7,course
344684,1674563588,8180,1657,9,course
344683,1674563297,9606,1863,10,course
344682,1674563297,8524,1863,7,course
344681,1674563297,8798,1863,9,course
344680,1674563053,8483,1868,7,course
344679,1674563053,8496,1868,8,course
344678,1674562777,7802,1880,10,course
344677,1674562777,9977,1880,8,course
344676,1674562777,7537,1880,10,course
344675,1674567772,7469,2305,0,course
344674,1674560640,7930,2305,9,course
344673,1674560640,7426,2305,7,course
344672,1674560640,7680,2305,9,course
344671,1674560640,7025,2305,9,course
344670,1674560640,7946,2305,9,course
344669,1674560640,7774,2305,9,course
344668,1674560640,7123,2305,9,course
344667,1674560640,8094,2305,9,course
344666,1674560640,7339,2305,9,course
344665,1674560640,7246,2305,9,course
344664,1674560640,7238,2305,9,course
344663,1674560640,7738,2305,9,course
344662,1674560640,8155,2305,9,course
344661,1674560640,8040,2305,9,course
344658,1674559810,9988,3074,8,course
344657,1674559809,9988,3074,8,mod
344654,1674559700,9985,3074,9,course
344653,1674559700,9985,3074,9,mod
344652,1674559626,10073,2969,8,course
344649,1674559609,9983,3074,8,course
344648,1674559609,9983,3074,8,mod
344645,1674559365,9972,3074,7,course
344644,1674559365,9972,3074,7,mod
344641,1674559217,9866,3074,9,course
344640,1674559217,9866,3074,9,mod
344637,1674558775,9794,3074,9,course
344636,1674558775,9794,3074,9,mod
344633,1674558623,9774,3074,8,course
344632,1674558623,9774,3074,8,mod
344629,1674558566,9755,3074,10,course
344628,1674558566,9755,3074,10,mod
344627,1674558491,9869,2969,8,course
344624,1674558432,9731,3074,10,course
344623,1674558432,9731,3074,10,mod
344620,1674558351,9724,3074,8,course
344619,1674558351,9724,3074,8,mod
344616,1674558253,9680,3074,10,course
344615,1674558253,9680,3074,10,mod
344614,1674556691,10126,2051,-1,course
344612,1674556691,9963,2051,8,course
344611,1674556691,9766,2051,8,course
344610,1674556691,10050,2051,-1,course
344605,1674556425,8612,2905,7,course
344604,1674556425,8612,2905,7,mod
344603,1674557441,9497,2905,7,mod
344602,1674557028,9497,2905,7,mod
344601,1674556625,9497,2905,7,mod
344600,1674556394,9497,2905,8,mod
344599,1674557441,9497,2905,7,course
344598,1674555803,9497,2905,8,mod
344597,1674557461,8602,2905,9,mod
344596,1674556706,8602,2905,7,mod
344595,1674556644,8602,2905,7,mod
344594,1674556413,8602,2905,8,mod
344593,1674557461,8602,2905,8,course
344592,1674555820,8602,2905,8,mod
344591,1674555064,9878,2406,8,mod
344590,1674552265,10060,1935,-1,course
344589,1674550673,7983,3089,8,course
344588,1674550672,7135,3089,8,course
344587,1674550672,7084,3089,8,course
344586,1674550672,7009,3089,10,course
344585,1674550672,7308,3089,10,course
344584,1674550672,8057,3089,10,course
344583,1674550672,7822,3089,6,course
344582,1674549052,9103,3087,6,mod
344580,1674547958,9835,3133,0,course
344579,1674547958,9835,3133,0,mod
344577,1674547948,7560,3133,0,course
344576,1674547948,7560,3133,0,mod
344574,1674547937,9838,3133,0,course
344573,1674547937,9838,3133,0,mod
344571,1674547915,9809,3133,0,course
344570,1674547915,9809,3133,0,mod
344568,1674547891,9798,3133,0,course
344567,1674547891,9798,3133,0,mod
344566,1674572446,9996,2581,10,mod
344565,1674563955,9996,2581,8,mod
344564,1674572446,9996,2581,3,category
344563,1674572446,9650,2581,10,mod
344562,1674563955,9650,2581,10,mod
344561,1674572446,9650,2581,7,category
344559,1674567428,9601,2581,10,mod
344558,1674567428,9601,2581,1,category
344556,1674567399,9599,2581,9,mod
344555,1674567399,9599,2581,1,category
344554,1674568870,9598,2581,10,mod
344553,1674563955,9598,2581,10,mod
344552,1674568870,9598,2581,8,category
344550,1674567399,9586,2581,10,mod
344549,1674567399,9586,2581,2,category
344545,1674547530,3631,2581,-1,course
344544,1674547426,9598,2581,10,mod
344543,1674546466,9823,2071,-1,course
344542,1674545082,9453,1683,-1,course
344539,1674542660,9217,2046,5,course
344538,1674542660,8683,2046,5,course
344537,1674542660,9081,2046,10,course
344536,1674542660,9238,2046,6,course
344535,1674542660,9501,2046,6,course
344534,1674542660,9499,2046,6,course
344533,1674542660,9417,2046,8,course
344532,1674542660,8766,2046,-1,course
344531,1674542660,9216,2046,7,course
344530,1674542660,9199,2046,7,course
344529,1674542660,9246,2046,10,course
344528,1674542660,9186,2046,10,course
344527,1674542660,9198,2046,8,course
344526,1674542660,9182,2046,10,course
344525,1674542660,9058,2046,9,course
344524,1674511134,8614,1022,10,mod
344523,1674510416,8614,1022,0,mod
344522,1674511134,8614,1022,3,course
344521,1674509954,8614,1022,0,mod
344520,1674509627,8770,2670,6,course
344519,1674509627,8665,2670,5,course
344518,1674509627,8606,2670,-1,course
344517,1674509627,8621,2670,7,course
344516,1674509627,8573,2670,8,course
344515,1674509627,8695,2670,7,course
344514,1674509617,9978,1854,-1,course
344513,1674509612,10030,1041,7,course
344512,1674509612,9601,1041,8,course
344511,1674509612,7267,1041,-1,course
344510,1674509612,10033,3071,-1,course
344509,1674509612,10039,3071,-1,course
344508,1674509612,10027,3071,-1,course
344507,1674477227,9704,3128,0,category
344506,1672674087,9704,3128,1,mod
344505,1672674087,9704,3128,1,mod
344504,1674477227,9704,3128,1,mod
344503,1674477227,9704,3128,0,mod
344502,1674509618,9704,3128,-1,course
344491,1674509425,8518,986,-1,course
344490,1674504518,10149,2920,9,course
344489,1674504518,8602,2920,9,course
344488,1674504518,9497,2920,9,course
344487,1674504518,8854,2920,9,course
344486,1674565040,8860,670,5,mod
344485,1674497734,9348,2750,7,course
344482,1674494230,9710,968,8,course
344481,1674494230,9891,968,10,course
344480,1674494230,9738,968,9,course
344479,1674494230,9912,968,9,course
344478,1674494230,9944,968,10,course
344477,1674494230,9960,968,4,course
344476,1674494230,10004,968,10,course
344475,1674494230,9897,968,10,course
344474,1674494230,9769,968,6,course
344473,1674494230,9747,968,9,course
344471,1674494230,9861,968,9,course
344470,1674494230,9757,968,10,course
344469,1674494230,10000,968,10,course
344468,1674494230,10001,968,8,course
344466,1674494230,9743,968,10,course
344465,1674494230,9971,968,10,course
344463,1674494230,9907,968,10,course
344462,1674494230,9808,968,10,course
344461,1674494230,9773,968,10,course
344460,1674493459,8032,2340,9,course
344459,1674493459,9886,2340,7,course
344458,1674493459,9802,2340,9,course
344456,1674493459,9962,2340,9,course
344455,1674493459,9819,2340,9,course
344454,1674493459,9851,2340,10,course
344453,1674493459,10175,2340,7,course
344452,1674493471,9955,2340,-1,course
344451,1674493471,9780,2340,-1,course
344450,1674493459,9726,2340,8,course
344449,1674495084,9174,3012,8,course
344448,1674495084,9188,3012,10,course
344447,1674495084,9153,3012,10,course
344446,1674495084,9128,3012,10,course
344445,1674495084,9389,3012,7,course
344444,1674495084,9413,3012,9,course
344443,1674491486,10025,2389,-1,course
344442,1674598942,10033,1708,-1,course
344441,1674598942,10039,1708,-1,course
344440,1674598942,10041,1708,-1,course
344439,1674598942,10028,1708,-1,course
344438,1674598942,10036,1708,-1,course
344437,1674598942,10027,1708,-1,course
344435,1674489532,7750,2499,0,mod
344434,1674546799,7750,2499,-1,course
344433,1674489532,7750,2499,0,mod
344432,1674542601,9977,1686,-1,course
344431,1674542601,9453,1686,-1,course
344426,1674484404,9137,1726,7,course
344425,1674484404,9886,1726,8,course
344424,1674484404,9802,1726,-1,course
344423,1674484404,9174,1726,7,course
344422,1674484404,9093,1726,-1,course
344420,1674484404,9128,1726,9,course
