id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,userid,courseid,relateduserid,anonymous,other,timecreated,origin,ip,realuserid
9737,\mod_hvp\event\course_module_viewed,mod_hvp,viewed,course_module,hvp,7,r,2,287,70,55,2,2,,0,null,1761447548,web,42.114.150.68,
9731,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447545,web,42.114.150.68,
9729,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447542,web,42.114.150.68,
9726,\core\event\course_module_completion_updated,core,updated,course_module_completion,course_modules_completion,15,u,2,287,70,55,2,2,2,0,"{""relateduserid"":2,""overrideby"":null,""completionstate"":0}",1761447540,web,42.114.150.68,
9727,\core\event\course_module_completion_updated,core,updated,course_module_completion,course_modules_completion,15,u,2,287,70,55,2,2,2,0,"{""relateduserid"":""2"",""overrideby"":null,""completionstate"":1}",1761447540,web,42.114.150.68,
9728,\mod_hvp\event\course_module_viewed,mod_hvp,viewed,course_module,hvp,7,r,2,287,70,55,2,2,,0,null,1761447540,web,42.114.150.68,
9720,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447536,web,42.114.150.68,
9715,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447505,web,42.114.150.68,
9713,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447496,web,42.114.150.68,
9712,\mod_resource\event\course_module_viewed,mod_resource,viewed,course_module,resource,11,r,2,311,70,79,2,2,,0,null,1761447494,web,42.114.150.68,
9706,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447492,web,42.114.150.68,
9705,\mod_hvp\event\course_module_viewed,mod_hvp,viewed,course_module,hvp,11,r,2,310,70,78,2,2,,0,null,1761447490,web,42.114.150.68,
9699,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447487,web,42.114.150.68,
9697,\mod_hvp\event\course_module_viewed,mod_hvp,viewed,course_module,hvp,11,r,2,310,70,78,2,2,,0,null,1761447483,web,42.114.150.68,
9691,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447479,web,42.114.150.68,
9688,\mod_resource\event\course_module_viewed,mod_resource,viewed,course_module,resource,7,r,2,286,70,54,2,2,,0,null,1761447476,web,42.114.150.68,
9689,\core\event\course_module_completion_updated,core,updated,course_module_completion,course_modules_completion,14,u,2,286,70,54,2,2,2,0,"{""relateduserid"":2,""overrideby"":null,""completionstate"":0}",1761447476,web,42.114.150.68,
9690,\core\event\course_module_completion_updated,core,updated,course_module_completion,course_modules_completion,14,u,2,286,70,54,2,2,2,0,"{""relateduserid"":""2"",""overrideby"":null,""completionstate"":1}",1761447476,web,42.114.150.68,
9682,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,2,2,,0,null,1761447473,web,42.114.150.68,
9765,\core\event\grade_item_updated,core,updated,grade_item,grade_items,52,u,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 5"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447460,cli,,
