id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,userid,courseid,relateduserid,anonymous,other,timecreated,origin,ip,realuserid
9623,\core\event\grade_item_created,core,created,grade_item,grade_items,38,c,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447458,restore,,
9624,\core\event\grade_item_updated,core,updated,grade_item,grade_items,38,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447458,restore,,
9625,\core\event\tag_added,core,added,tag,tag_instance,357,c,0,290,70,58,2,2,,0,"{""tagid"":""3"",""tagname"":""hard"",""tagrawname"":""hard"",""itemid"":58,""itemtype"":""course_modules""}",1761447458,restore,,
9626,\core\event\grade_item_created,core,created,grade_item,grade_items,39,c,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447458,restore,,
9627,\core\event\grade_item_updated,core,updated,grade_item,grade_items,39,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447458,restore,,
9628,\core\event\course_section_created,core,created,course_section,course_sections,15,c,1,14,50,2,2,2,,0,"{""sectionnum"":2}",1761447458,restore,,
9629,\core\event\grade_item_created,core,created,grade_item,grade_items,40,c,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 2"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447458,restore,,
9630,\core\event\grade_item_updated,core,updated,grade_item,grade_items,40,u,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 2"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447458,restore,,
9631,\core\event\tag_added,core,added,tag,tag_instance,358,c,0,294,70,62,2,2,,0,"{""tagid"":""1"",""tagname"":""easy"",""tagrawname"":""easy"",""itemid"":62,""itemtype"":""course_modules""}",1761447458,restore,,
9632,\core\event\grade_item_created,core,created,grade_item,grade_items,41,c,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 2 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447458,restore,,
