id,timecreated,eventname,action,target,userid,courseid,other
10674358,2023-01-02 07:24:15,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674359,2023-01-02 07:24:16,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674360,2023-01-02 07:24:19,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674361,2023-01-02 07:24:19,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674362,2023-01-02 07:24:23,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674363,2023-01-02 07:24:23,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674364,2023-01-02 07:24:26,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674365,2023-01-02 07:24:26,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674366,2023-01-02 07:24:29,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674367,2023-01-02 07:24:30,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674368,2023-01-02 07:24:33,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674369,2023-01-02 07:24:33,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674370,2023-01-02 07:24:40,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674371,2023-01-02 07:24:40,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674386,2023-01-02 07:24:47,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674387,2023-01-02 07:24:47,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674393,2023-01-02 07:24:51,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674394,2023-01-02 07:24:51,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674398,2023-01-02 07:24:53,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674399,2023-01-02 07:24:53,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10674400,2023-01-02 07:24:56,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674401,2023-01-02 07:24:56,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '**'}
10674402,2023-01-02 07:24:58,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10674403,2023-01-02 07:24:58,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '**'}
10689956,2023-01-03 07:45:15,\core\event\course_viewed,viewed,course,9260,670,
10689957,2023-01-03 07:45:17,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10689962,2023-01-03 07:45:30,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10689963,2023-01-03 07:45:31,\mod_assign\event\feedback_viewed,viewed,feedback,9260,670,{'assignid': '****'}
10689964,2023-01-03 07:45:31,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10689970,2023-01-03 07:45:52,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10689971,2023-01-03 07:45:52,\mod_assign\event\feedback_viewed,viewed,feedback,9260,670,{'assignid': '****'}
10689972,2023-01-03 07:45:52,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691546,2023-01-03 09:57:04,\core\event\course_viewed,viewed,course,9260,670,
10691555,2023-01-03 09:57:10,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10691558,2023-01-03 09:57:14,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691559,2023-01-03 09:57:14,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691562,2023-01-03 09:57:18,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691563,2023-01-03 09:57:18,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691564,2023-01-03 09:57:20,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691565,2023-01-03 09:57:20,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691566,2023-01-03 09:57:23,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691567,2023-01-03 09:57:23,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691573,2023-01-03 09:57:31,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691574,2023-01-03 09:57:31,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691575,2023-01-03 09:57:33,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691576,2023-01-03 09:57:33,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691577,2023-01-03 09:57:35,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691578,2023-01-03 09:57:35,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691582,2023-01-03 09:57:37,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691583,2023-01-03 09:57:37,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691584,2023-01-03 09:57:39,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691585,2023-01-03 09:57:39,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691587,2023-01-03 09:57:41,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691588,2023-01-03 09:57:42,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691593,2023-01-03 09:57:44,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691594,2023-01-03 09:57:44,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691597,2023-01-03 09:57:50,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10691598,2023-01-03 09:57:51,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10691688,2023-01-03 10:00:00,\core\event\course_viewed,viewed,course,9260,670,
10691690,2023-01-03 10:00:02,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10691693,2023-01-03 10:00:10,\core\event\course_viewed,viewed,course,9260,670,
10691697,2023-01-03 10:00:12,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10693881,2023-01-03 10:53:49,\core\event\course_viewed,viewed,course,9260,670,
10693891,2023-01-03 10:53:52,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10693902,2023-01-03 10:54:01,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10693903,2023-01-03 10:54:01,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10693904,2023-01-03 10:54:04,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10693905,2023-01-03 10:54:04,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10693910,2023-01-03 10:54:08,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10693911,2023-01-03 10:54:08,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10701743,2023-01-03 16:47:20,\core\event\course_viewed,viewed,course,9260,670,
10701744,2023-01-03 16:47:21,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10701747,2023-01-03 16:47:37,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10701748,2023-01-03 16:47:37,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10703164,2023-01-03 17:51:21,\core\event\course_viewed,viewed,course,9260,670,
10703166,2023-01-03 17:51:22,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10703212,2023-01-03 17:52:45,\core\event\course_viewed,viewed,course,9260,670,
10703213,2023-01-03 17:52:46,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10703244,2023-01-03 17:54:50,\core\event\course_viewed,viewed,course,9260,670,
10703246,2023-01-03 17:54:52,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10703248,2023-01-03 17:54:59,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10703249,2023-01-03 17:54:59,\mod_assign\event\feedback_viewed,viewed,feedback,9260,670,{'assignid': '****'}
10703250,2023-01-03 17:54:59,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10715513,2023-01-04 13:19:29,\core\event\course_viewed,viewed,course,9260,670,
10715514,2023-01-04 13:19:31,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10765454,2023-01-07 12:52:17,\core\event\course_viewed,viewed,course,9260,670,
10766016,2023-01-07 13:22:24,\core\event\course_viewed,viewed,course,9260,670,
10766018,2023-01-07 13:22:26,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10766021,2023-01-07 13:22:34,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10766022,2023-01-07 13:22:34,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10768238,2023-01-07 16:40:49,\core\event\course_viewed,viewed,course,9260,670,
10768240,2023-01-07 16:40:52,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10787783,2023-01-08 22:23:49,\core\event\course_viewed,viewed,course,9260,670,
10787784,2023-01-08 22:23:54,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10787785,2023-01-08 22:24:01,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787786,2023-01-08 22:24:02,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10787791,2023-01-08 22:24:22,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787792,2023-01-08 22:24:22,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10787793,2023-01-08 22:24:25,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787794,2023-01-08 22:24:25,\mod_assign\event\submission_form_viewed,viewed,submission_form,9260,670,{'assignid': '***'}
10787796,2023-01-08 22:24:50,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787797,2023-01-08 22:24:50,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787798,2023-01-08 22:24:50,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10787801,2023-01-08 22:24:52,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787802,2023-01-08 22:24:52,\mod_assign\event\submission_form_viewed,viewed,submission_form,9260,670,{'assignid': '***'}
10787803,2023-01-08 22:24:59,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787804,2023-01-08 22:24:59,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787805,2023-01-08 22:24:59,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10787807,2023-01-08 22:25:08,\core\event\course_viewed,viewed,course,9260,670,
10787812,2023-01-08 22:26:01,\core\event\course_viewed,viewed,course,9260,670,
10787813,2023-01-08 22:26:04,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10787825,2023-01-08 22:27:23,\core\event\course_viewed,viewed,course,9260,670,
10787826,2023-01-08 22:27:26,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10787849,2023-01-08 22:28:30,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10787850,2023-01-08 22:28:31,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10787852,2023-01-08 22:28:41,\core\event\course_viewed,viewed,course,9260,670,
10787854,2023-01-08 22:28:51,\mod_folder\event\course_module_viewed,viewed,course_module,9260,670,
10787856,2023-01-08 22:28:58,\mod_folder\event\all_files_downloaded,downloaded,all_files,9260,670,
10787999,2023-01-08 22:45:47,\core\event\course_viewed,viewed,course,9260,670,
10788002,2023-01-08 22:45:49,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10788003,2023-01-08 22:45:55,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10788004,2023-01-08 22:45:55,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10788009,2023-01-08 22:46:05,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10788010,2023-01-08 22:46:05,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10793980,2023-01-09 09:52:30,\core\event\course_viewed,viewed,course,9260,670,
10793981,2023-01-09 09:52:33,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10793987,2023-01-09 09:52:48,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10793988,2023-01-09 09:52:48,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10796424,2023-01-09 11:37:19,\core\event\course_viewed,viewed,course,9260,670,
10796425,2023-01-09 11:37:22,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10796445,2023-01-09 11:38:23,\core\event\course_viewed,viewed,course,9260,670,
10798220,2023-01-09 12:41:45,\core\event\course_viewed,viewed,course,9260,670,
10798223,2023-01-09 12:41:49,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10798407,2023-01-09 12:51:34,\core\event\course_viewed,viewed,course,9260,670,
10798415,2023-01-09 12:52:21,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10798416,2023-01-09 12:52:21,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10798418,2023-01-09 12:52:23,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10798419,2023-01-09 12:52:23,\mod_assign\event\submission_form_viewed,viewed,submission_form,9260,670,{'assignid': '***'}
10798422,2023-01-09 12:53:28,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10798423,2023-01-09 12:53:28,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9260,670,"{'pathnamehashes': {}, 'content': '********************************************************************************************************************************************************************************************************************************************************************************************************************************************************', 'format': '*'}"
10798424,2023-01-09 12:53:28,\assignsubmission_onlinetext\event\submission_created,created,submission,9260,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 10, 'groupid': 0, 'groupname': None}"
10798425,2023-01-09 12:53:28,\mod_assign\event\assessable_submitted,submitted,assessable,9260,670,{'submission_editable': True}
10798426,2023-01-09 12:53:28,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10798427,2023-01-09 12:53:28,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10798429,2023-01-09 12:53:37,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10798430,2023-01-09 12:53:39,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10798431,2023-01-09 12:53:39,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10798438,2023-01-09 12:54:53,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10798439,2023-01-09 12:54:53,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10798440,2023-01-09 12:55:07,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10798441,2023-01-09 12:55:07,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10798443,2023-01-09 12:55:13,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10798444,2023-01-09 12:55:13,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10799848,2023-01-09 13:43:40,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10799849,2023-01-09 13:43:41,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10804051,2023-01-09 16:11:01,\core\event\course_viewed,viewed,course,9260,670,
10804055,2023-01-09 16:11:03,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10804081,2023-01-09 16:11:41,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10804082,2023-01-09 16:11:41,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10804089,2023-01-09 16:11:48,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10804090,2023-01-09 16:11:48,\mod_assign\event\submission_form_viewed,viewed,submission_form,9260,670,{'assignid': '****'}
10804110,2023-01-09 16:12:27,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10804111,2023-01-09 16:12:27,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9260,670,"{'pathnamehashes': {}, 'content': '*******************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************', 'format': '*'}"
10804112,2023-01-09 16:12:27,\assignsubmission_onlinetext\event\submission_created,created,submission,9260,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 67, 'groupid': 0, 'groupname': None}"
10804113,2023-01-09 16:12:27,\mod_assign\event\assessable_submitted,submitted,assessable,9260,670,{'submission_editable': True}
10804114,2023-01-09 16:12:27,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10804115,2023-01-09 16:12:27,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10854334,2023-01-12 06:55:28,\core\event\course_viewed,viewed,course,9260,670,
10854335,2023-01-12 06:55:32,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10854338,2023-01-12 06:55:41,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10854339,2023-01-12 06:55:41,\mod_assign\event\feedback_viewed,viewed,feedback,9260,670,{'assignid': '***'}
10854340,2023-01-12 06:55:41,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '***'}
10854342,2023-01-12 06:55:46,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10854343,2023-01-12 06:55:46,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10854344,2023-01-12 06:55:49,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10854345,2023-01-12 06:55:49,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10854346,2023-01-12 06:55:53,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10854347,2023-01-12 06:55:53,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10854348,2023-01-12 06:55:56,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10854349,2023-01-12 06:55:57,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10856667,2023-01-12 09:05:26,\core\event\course_viewed,viewed,course,9260,670,
10856669,2023-01-12 09:05:28,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10856670,2023-01-12 09:05:30,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10856671,2023-01-12 09:05:31,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10857191,2023-01-12 09:38:26,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10857192,2023-01-12 09:38:26,\mod_assign\event\submission_form_viewed,viewed,submission_form,9260,670,{'assignid': '****'}
10857202,2023-01-12 09:38:34,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10857203,2023-01-12 09:38:34,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9260,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
10857204,2023-01-12 09:38:34,\assignsubmission_onlinetext\event\submission_created,created,submission,9260,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
10857205,2023-01-12 09:38:34,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,9260,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
10857206,2023-01-12 09:38:34,\assignsubmission_file\event\submission_created,created,submission,9260,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
10857207,2023-01-12 09:38:35,\core\event\course_module_completion_updated,updated,course_module_completion,9260,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}"
10857208,2023-01-12 09:38:35,\mod_assign\event\assessable_submitted,submitted,assessable,9260,670,{'submission_editable': True}
10857209,2023-01-12 09:38:35,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
10857210,2023-01-12 09:38:35,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
10878381,2023-01-13 10:31:53,\core\event\course_viewed,viewed,course,9260,670,
10878382,2023-01-13 10:31:55,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9260,670,
10878383,2023-01-13 10:31:58,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
