id,timemodified,userid,courseid,finalgrade,itemtype
344710,1674567497,9151,670,8,course
342528,1673986492,9151,670,8,mod
340158,1673269996,9151,670,9,mod
340157,1673639874,9151,670,7,mod
338132,1672747789,9151,670,6,mod
337942,1672747512,9151,670,7,mod
337941,1672680762,9151,670,9,mod
336863,1672745626,9151,670,10,mod
314213,1672742829,9151,670,10,mod
314212,1672742326,9151,670,10,mod
314211,1672668333,9151,670,10,mod
314210,1672666325,9151,670,10,mod
314209,1674467756,9151,670,2,mod
314208,1672661772,9151,670,9,mod
314207,1672672247,9151,670,10,mod
314206,1672670693,9151,670,6,mod
314205,1672743318,9151,670,10,mod
