id,timemodified,userid,courseid,finalgrade,itemtype
344714,1674567497,9109,670,8,course
342529,1673985541,9109,670,6,mod
341259,1673640822,9109,670,9,mod
333511,1672747789,9109,670,10,mod
314291,1672748396,9109,670,9,mod
314290,1672742829,9109,670,10,mod
314289,1672742326,9109,670,10,mod
314288,1672680486,9109,670,10,mod
314287,1672745626,9109,670,9,mod
314286,1672668333,9109,670,10,mod
314285,1672666325,9109,670,10,mod
314284,1672662430,9109,670,10,mod
314283,1672661772,9109,670,10,mod
314282,1672747512,9109,670,10,mod
314281,1672672247,9109,670,10,mod
314280,1672670693,9109,670,6,mod
314279,1672743318,9109,670,8,mod
