Cluster,Lesson,Progress,Score,Phase,Engagement,Best_Action_ID,Best_Action_Name,Best_Q_Value,Num_Actions_Available
2,3,0.5,0.75,0,1,13,attempt_quiz (future),0.40166504760449934,1
2,2,0.5,0.5,1,2,9,submit_quiz (current),23.79249813429419,11
2,2,0.75,0.75,0,1,4,post_forum (past),0.6234282216291782,4
4,4,0.5,0.75,1,2,7,submit_assignment (current),13.239111205831463,13
4,1,0.25,0.5,0,2,6,view_content (current),0.41325673946186237,3
4,1,0.5,0.5,0,2,13,attempt_quiz (future),0.7867720255256506,5
4,1,0.75,0.5,2,2,2,attempt_quiz (past),0.7877369277671501,3
0,1,0.75,0.5,0,1,9,submit_quiz (current),14.838390957789397,4
0,3,0.25,0.75,1,2,7,submit_assignment (current),12.017349365008592,12
0,1,1.0,0.75,0,1,13,attempt_quiz (future),10.648943988556724,6
0,2,0.25,0.75,0,1,8,attempt_quiz (current),8.767367118106153,5
0,0,1.0,1.0,0,1,2,attempt_quiz (past),15.440624432421798,4
2,1,1.0,0.75,2,1,4,post_forum (past),1.4416665451764918,3
2,1,0.75,0.5,1,2,7,submit_assignment (current),43.45519923719355,13
4,2,1.0,1.0,2,1,1,view_content (past),0.5280294799513517,3
4,0,0.75,1.0,2,2,8,attempt_quiz (current),18.87326078451502,5
4,0,0.75,0.75,2,0,11,post_forum (current),10.165127267958518,4
2,2,0.5,0.5,0,2,8,attempt_quiz (current),30.215093009153268,10
2,2,1.0,0.75,2,1,9,submit_quiz (current),1.6385686162478414,1
4,1,0.75,1.0,0,1,7,submit_assignment (current),1.6994347528617757,5
4,4,1.0,1.0,2,2,7,submit_assignment (current),7.966595139750575,13
4,0,0.75,0.5,0,0,12,view_content (future),0.1963819367712469,2
0,2,0.5,0.75,0,1,3,review_quiz (past),2.866034296326223,2
0,0,0.75,0.25,1,1,13,attempt_quiz (future),17.013309704691178,8
2,3,0.5,0.5,0,2,13,attempt_quiz (future),7.2844524539584015,6
2,4,0.25,1.0,1,2,7,submit_assignment (current),9.64423849760245,14
2,2,0.75,0.75,1,1,0,view_assignment (past),0.10663305071899708,1
2,1,0.25,0.75,1,1,7,submit_assignment (current),7.462792349178196,7
2,2,1.0,0.5,0,2,8,attempt_quiz (current),6.843304791317267,5
0,1,1.0,0.25,1,2,4,post_forum (past),3.0629358355680454,4
0,2,0.25,0.25,1,2,7,submit_assignment (current),19.666555731638837,2
2,2,1.0,0.75,0,1,11,post_forum (current),2.5824469018252536,3
4,4,0.5,1.0,0,1,7,submit_assignment (current),2.032545229226557,5
4,0,0.25,0.75,1,0,2,attempt_quiz (past),2.5799044565334737,2
4,0,0.75,0.75,1,2,7,submit_assignment (current),26.615668220233193,12
0,1,0.75,0.75,0,1,9,submit_quiz (current),14.722616357544553,4
0,2,0.25,0.5,1,1,1,view_content (past),0.075,1
0,2,0.5,0.5,1,1,9,submit_quiz (current),3.8238846492142,1
2,4,0.25,1.0,0,2,9,submit_quiz (current),6.579093589129589,13
4,3,1.0,0.75,0,2,9,submit_quiz (current),19.97949087514874,12
2,0,0.25,0.5,0,1,13,attempt_quiz (future),25.298611310890813,6
2,2,0.75,0.5,0,2,9,submit_quiz (current),22.425191810753745,7
2,2,0.75,0.5,2,2,7,submit_assignment (current),5.244818383184935,8
2,2,1.0,0.5,2,2,13,attempt_quiz (future),20.19510775049337,12
4,4,0.75,1.0,0,1,7,submit_assignment (current),0.8108956200781021,3
2,0,0.5,0.5,1,2,9,submit_quiz (current),16.48191983409305,9
2,0,0.5,0.5,0,2,5,view_assignment (current),3.8191509288911107,2
2,0,1.0,0.75,0,0,9,submit_quiz (current),1.0949888578320817,1
0,0,0.5,1.0,1,0,2,attempt_quiz (past),32.23594631157368,4
4,0,1.0,0.5,1,1,6,view_content (current),0.175893,2
4,4,0.5,0.75,0,2,13,attempt_quiz (future),8.393168907498628,13
4,1,0.5,0.75,0,1,7,submit_assignment (current),3.2197660745755723,4
0,0,1.0,0.25,1,2,13,attempt_quiz (future),29.92213107786219,5
