id,timecreated,eventname,action,target,userid,courseid,other,timestamp
10912943,2023-01-15 21:48:34,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,9146,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}",1673819314
10912944,2023-01-15 21:48:34,\assignsubmission_file\event\submission_created,created,submission,9146,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}",1673819314
10912945,2023-01-15 21:48:34,\mod_assign\event\assessable_submitted,submitted,assessable,9146,670,{'submission_editable': True},1673819314
10912946,2023-01-15 21:48:34,\mod_assign\event\course_module_viewed,viewed,course_module,9146,670,,1673819314
10912947,2023-01-15 21:48:34,\mod_assign\event\submission_status_viewed,viewed,submission_status,9146,670,{'assignid': '****'},1673819314
10912948,2023-01-15 21:48:36,\core\event\course_viewed,viewed,course,9146,670,,1673819316
10912950,2023-01-15 21:48:43,\mod_assign\event\course_module_viewed,viewed,course_module,9146,670,,1673819323
10912951,2023-01-15 21:48:43,\mod_assign\event\submission_status_viewed,viewed,submission_status,9146,670,{'assignid': '****'},1673819323
10912952,2023-01-15 21:48:44,\core\event\course_viewed,viewed,course,9146,670,,1673819324
10912953,2023-01-15 21:48:46,\core\event\course_module_completion_updated,updated,course_module_completion,9146,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}",1673819326
10912955,2023-01-15 21:48:52,\mod_folder\event\course_module_viewed,viewed,course_module,9146,670,,1673819332
10912956,2023-01-15 21:48:57,\mod_folder\event\all_files_downloaded,downloaded,all_files,9146,670,,1673819337
10912959,2023-01-15 21:49:11,\core\event\course_viewed,viewed,course,9146,670,,1673819351
10912960,2023-01-15 21:49:14,\mod_assign\event\course_module_viewed,viewed,course_module,9146,670,,1673819354
10912961,2023-01-15 21:49:14,\mod_assign\event\submission_status_viewed,viewed,submission_status,9146,670,{'assignid': '****'},1673819354
10912975,2023-01-15 21:51:18,\core\event\course_viewed,viewed,course,9146,670,,1673819478
10912994,2023-01-15 21:51:51,\mod_assign\event\submission_status_viewed,viewed,submission_status,9146,670,{'assignid': '****'},1673819511
10912993,2023-01-15 21:51:51,\mod_assign\event\course_module_viewed,viewed,course_module,9146,670,,1673819511
10913190,2023-01-15 22:09:18,\core\event\course_viewed,viewed,course,9146,670,,1673820558
10913281,2023-01-15 22:23:43,\mod_assign\event\course_module_viewed,viewed,course_module,9146,670,,1673821423
10913282,2023-01-15 22:23:43,\mod_assign\event\submission_status_viewed,viewed,submission_status,9146,670,{'assignid': '****'},1673821423
10913309,2023-01-15 22:31:45,\core\event\course_viewed,viewed,course,9146,670,,1673821905
10913310,2023-01-15 22:31:48,\mod_resource\event\course_module_viewed,viewed,course_module,9146,670,,1673821908
10913623,2023-01-15 23:11:34,\core\event\course_viewed,viewed,course,9146,670,,1673824294
10913625,2023-01-15 23:12:42,\mod_assign\event\course_module_viewed,viewed,course_module,9146,670,,1673824362
10913626,2023-01-15 23:12:42,\mod_assign\event\submission_status_viewed,viewed,submission_status,9146,670,{'assignid': '****'},1673824362
10913773,2023-01-16 00:11:14,\core\event\course_viewed,viewed,course,9146,670,,1673827874
10913774,2023-01-16 00:11:21,\mod_assign\event\course_module_viewed,viewed,course_module,9146,670,,1673827881
10913775,2023-01-16 00:11:21,\mod_assign\event\submission_status_viewed,viewed,submission_status,9146,670,{'assignid': '****'},1673827881
10913776,2023-01-16 00:11:30,\core\event\course_viewed,viewed,course,9146,670,,1673827890
10913777,2023-01-16 00:11:34,\core\event\course_module_completion_updated,updated,course_module_completion,9146,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}",1673827894
10913778,2023-01-16 00:11:35,\core\event\course_module_completion_updated,updated,course_module_completion,9146,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}",1673827895
10913779,2023-01-16 00:11:35,\core\event\course_module_completion_updated,updated,course_module_completion,9146,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}",1673827895
10913780,2023-01-16 00:11:36,\core\event\course_module_completion_updated,updated,course_module_completion,9146,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}",1673827896
