id,timecreated,eventname,action,target,userid,courseid,other,timestamp
10768617,2023-01-07 16:56:55,\mod_assign\event\course_module_viewed,viewed,course_module,9151,670,,1673110615
10768618,2023-01-07 16:56:55,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9151,670,"{'pathnamehashes': {}, 'content': '**************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************', 'format': '*'}",1673110615
10768619,2023-01-07 16:56:55,\assignsubmission_onlinetext\event\submission_created,created,submission,9151,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 173, 'groupid': 0, 'groupname': None}",1673110615
10768620,2023-01-07 16:56:55,\mod_assign\event\assessable_submitted,submitted,assessable,9151,670,{'submission_editable': True},1673110615
10768621,2023-01-07 16:56:55,\mod_assign\event\course_module_viewed,viewed,course_module,9151,670,,1673110615
10768622,2023-01-07 16:56:55,\mod_assign\event\submission_status_viewed,viewed,submission_status,9151,670,{'assignid': '***'},1673110615
10788564,2023-01-09 00:15:35,\core\event\course_viewed,viewed,course,9151,670,,1673223335
10788565,2023-01-09 00:15:49,\gradereport_user\event\grade_report_viewed,viewed,grade_report,9151,670,,1673223349
10788566,2023-01-09 00:16:13,\mod_assign\event\course_module_viewed,viewed,course_module,9151,670,,1673223373
10788567,2023-01-09 00:16:14,\mod_assign\event\submission_status_viewed,viewed,submission_status,9151,670,{'assignid': '****'},1673223374
