state,action,q_value
1_3_True_1.00_2_0.00_2,Previous,0.5728520959535107
1_2_True_1.00_3_1.00_0,Go_to_high_level,3.1945086942150382
1_2_True_1.00_3_1.00_0,Previous,-0.4521900397546193
1_2_True_1.00_1_1.00_0,Go_to_high_level,2.7561207570121815
1_2_True_1.00_1_1.00_0,Go_to_low_level,0.7025656892045021
1_1_False_2.00_0_0.00_2,Go_to_low_level,-0.4
1_1_False_2.00_0_0.00_2,Next,-0.036000000000000004
1_1_False_2.00_0_0.00_2,Go_to_high_level,1.5195401174789613
1_1_False_2.00_0_0.00_2,Stay,-0.451901181643689
1_1_False_2.00_0_0.00_2,Previous,-0.24679199791284986
1_2_True_1.00_3_0.00_0,Stay,-1.4176646405688889
1_2_True_1.00_3_0.00_0,Go_to_low_level,-0.4538641544920683
1_2_True_1.00_3_0.00_0,Go_to_high_level,1.0258452960224673
1_3_True_1.00_3_1.00_2,Next,2.094355898904067
1_1_False_2.00_0_1.00_1,Next,0.7870283050824526
1_1_False_2.00_0_1.00_1,Go_to_low_level,-0.3092099631617782
1_3_True_1.00_3_0.00_2,Go_to_high_level,1.1356647902244856
1_1_False_2.00_0_0.00_0,Previous,-1.514847643246258
1_1_False_2.00_0_0.00_0,Go_to_low_level,-0.31554710303277994
1_1_False_2.00_0_0.00_0,Go_to_high_level,0.16159471965041405
1_1_False_2.00_0_0.00_0,Next,4.995253722366001
1_1_False_2.00_0_0.00_0,Stay,-0.44776007645272037
2_2_True_1.00_1_0.00_0,Stay,-2.8424071920853087
2_2_True_1.00_1_0.00_0,Next,9.16675752291286
2_2_True_1.00_1_0.00_0,Go_to_high_level,2.6639018172080364
2_2_True_1.00_1_0.00_0,Previous,0.07613940153539565
2_2_True_1.00_2_0.00_0,Previous,-1.6590297428048777
2_2_True_1.00_2_0.00_0,Go_to_low_level,4.103629512870228
2_2_True_1.00_2_0.00_0,Stay,0.2367910122718831
2_2_True_1.00_2_0.00_0,Go_to_high_level,0.7767261772719217
2_2_True_1.00_3_0.00_0,Next,6.820629282489244
2_2_True_1.00_3_0.00_0,Previous,-0.5747670555759903
2_2_True_1.00_3_0.00_0,Go_to_high_level,1.369157043832237
2_2_True_1.00_3_0.00_0,Stay,0.26558880713426536
0_2_True_1.00_3_1.00_0,Go_to_high_level,11.604611823045483
0_2_True_1.00_3_1.00_0,Previous,0.7020906437598926
0_2_True_1.00_3_1.00_0,Stay,-0.33094734463093256
0_2_True_1.00_3_1.00_0,Next,1.2812209829066004
0_2_True_1.00_1_1.00_0,Next,10.236221515437924
0_2_True_1.00_1_1.00_0,Stay,1.097526554992125
0_2_True_1.00_1_1.00_0,Go_to_low_level,0.8079586692474818
0_2_True_1.00_1_1.00_0,Go_to_high_level,0.9337417748405159
0_2_True_1.00_1_1.00_0,Previous,0.35168190421179757
0_2_True_0.00_2_1.00_0,Go_to_low_level,11.357134921032031
0_2_True_0.00_2_1.00_0,Previous,1.7106724472660546
0_2_True_0.00_2_1.00_0,Stay,1.4737254041216623
2_2_True_0.00_3_0.00_0,Next,8.282662029341568
2_2_True_0.00_3_0.00_0,Previous,-0.06604144407359623
2_2_True_0.00_2_0.00_0,Go_to_low_level,12.662577123018739
2_2_True_0.00_2_0.00_0,Previous,0.596327101737119
0_3_True_1.00_3_0.00_0,Go_to_high_level,9.32812066729459
0_3_True_1.00_3_0.00_0,Go_to_low_level,-0.2809611470627242
0_3_True_1.00_3_0.00_0,Previous,1.2975866995791256
0_3_True_1.00_2_0.00_0,Previous,-0.25368937457765073
0_3_True_1.00_2_0.00_0,Next,9.10413012516995
1_3_True_1.00_1_0.00_4,Stay,-1.4042944313010326
1_3_True_1.00_1_1.00_1,Previous,0.3648812198137918
1_3_True_1.00_1_1.00_1,Stay,-0.5590215409079188
1_3_True_1.00_3_0.00_0,Stay,-1.2615197407175505
1_3_True_1.00_3_0.00_0,Go_to_high_level,3.0122880515417663
1_3_True_1.00_3_0.00_0,Go_to_low_level,0.5584036343178367
1_3_True_1.00_3_0.00_0,Previous,-0.30804167402436916
1_3_True_2.00_2_0.00_1,Previous,-0.2
1_2_True_1.00_2_0.00_0,Stay,-0.8240483057250279
