id,timecreated,eventname,action,target,userid,courseid,other
10299014,2022-11-28 13:53:46,\mod_assign\event\submission_status_viewed,viewed,submission_status,9169,670,{'assignid': '****'}
10299165,2022-11-28 14:00:20,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
10299166,2022-11-28 14:00:20,\mod_assign\event\submission_form_viewed,viewed,submission_form,9169,670,{'assignid': '****'}
10299172,2022-11-28 14:00:39,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
10299173,2022-11-28 14:00:39,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9169,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
10299174,2022-11-28 14:00:39,\assignsubmission_onlinetext\event\submission_created,created,submission,9169,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
10299175,2022-11-28 14:00:39,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,9169,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
10299176,2022-11-28 14:00:39,\assignsubmission_file\event\submission_created,created,submission,9169,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
10299177,2022-11-28 14:00:39,\core\event\course_module_completion_updated,updated,course_module_completion,9169,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}"
10299178,2022-11-28 14:00:39,\mod_assign\event\assessable_submitted,submitted,assessable,9169,670,{'submission_editable': True}
10299179,2022-11-28 14:00:39,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
10299180,2022-11-28 14:00:40,\mod_assign\event\submission_status_viewed,viewed,submission_status,9169,670,{'assignid': '****'}
10299554,2022-11-28 14:16:33,\core\event\course_viewed,viewed,course,9169,670,
10299555,2022-11-28 14:16:37,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
10299556,2022-11-28 14:16:37,\mod_assign\event\submission_status_viewed,viewed,submission_status,9169,670,{'assignid': '****'}
10299557,2022-11-28 14:16:38,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
10299558,2022-11-28 14:16:38,\mod_assign\event\submission_form_viewed,viewed,submission_form,9169,670,{'assignid': '****'}
10299604,2022-11-28 14:18:03,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
