id,timemodified,userid,courseid,finalgrade,itemtype
344719,1674567497,9152,670,8,course
342535,1673987933,9152,670,8,mod
341189,1673640822,9152,670,9,mod
340223,1673639874,9152,670,7,mod
339188,1672747789,9152,670,7,mod
339186,1672745626,9152,670,7,mod
339183,1672743318,9152,670,6,mod
339180,1672742829,9152,670,10,mod
339177,1672742326,9152,670,10,mod
339166,1672739544,9152,670,10,mod
338685,1672672247,9152,670,10,mod
338681,1672670693,9152,670,10,mod
338676,1672668333,9152,670,10,mod
338662,1672666325,9152,670,10,mod
338649,1672662430,9152,670,3,mod
338644,1672661772,9152,670,10,mod
309500,1672747512,9152,670,10,mod
