id,timemodified,userid,courseid,finalgrade,itemtype
344713,1674567497,9220,670,7,course
342533,1673986140,9220,670,6,mod
340700,1673640716,9220,670,1,mod
340182,1673640292,9220,670,9,mod
339185,1672743318,9220,670,7,mod
338687,1672672247,9220,670,10,mod
338683,1672670693,9220,670,9,mod
338678,1672668334,9220,670,10,mod
338664,1672666326,9220,670,7,mod
338651,1672662430,9220,670,3,mod
334998,1672747789,9220,670,9,mod
334947,1672748135,9220,670,7,mod
334946,1672740795,9220,670,7,mod
334301,1672742829,9220,670,10,mod
334169,1672742326,9220,670,10,mod
333241,1672748396,9220,670,9,mod
307961,1672662055,9220,670,10,mod
