userid,finalgrade,behavior_analysis
8964,1,Active_Submission (Lag: 103.79h) - \mod_assign\event\assessable_submitted
8964,9,Active_Submission (Lag: 103.92h) - \mod_assign\event\assessable_submitted
8964,1,Active_Submission (Lag: 104.12h) - \mod_assign\event\assessable_submitted
9152,7,Active_Submission (Lag: 50.27h) - \mod_assign\event\assessable_submitted
9169,9,Active_Submission (Lag: 53.24h) - \mod_assign\event\assessable_submitted
8964,8,Active_Submission (Lag: 103.96h) - \mod_assign\event\assessable_submitted
8964,9,Active_Submission (Lag: 1.27h) - \mod_assign\event\assessable_submitted
8964,4,Active_Submission (Lag: 1.24h) - \mod_assign\event\assessable_submitted
8964,6,Active_Submission (Lag: 1.21h) - \mod_assign\event\assessable_submitted
8670,9,Active_Submission (Lag: 40.77h) - \mod_assign\event\assessable_submitted
9220,9,Active_Submission (Lag: 97.13h) - \mod_assign\event\assessable_submitted
8609,9,Active_Submission (Lag: 43.25h) - \mod_assign\event\assessable_submitted
9151,9,Active_Submission (Lag: 44.27h) - \mod_assign\event\assessable_submitted
9151,7,Active_Submission (Lag: 147.02h) - \mod_assign\event\assessable_submitted
8860,7,Old_Activity_Found (16 days ago)
9152,7,Old_Activity_Found (35 days ago)
9169,7,Old_Activity_Found (35 days ago)
9152,7,Old_Activity_Found (35 days ago)
9220,7,Old_Activity_Found (21 days ago)
9169,8,Old_Activity_Found (35 days ago)
9152,6,Old_Activity_Found (35 days ago)
8860,5,Old_Activity_Found (16 days ago)
9169,10,Old_Activity_Found (35 days ago)
9152,10,Old_Activity_Found (35 days ago)
8671,10,No_Activity
9169,10,Old_Activity_Found (35 days ago)
9152,10,Old_Activity_Found (35 days ago)
9169,10,Old_Activity_Found (35 days ago)
9152,10,Old_Activity_Found (35 days ago)
8860,7,Old_Activity_Found (16 days ago)
9220,10,Old_Activity_Found (20 days ago)
9169,10,Old_Activity_Found (35 days ago)
9152,10,Old_Activity_Found (35 days ago)
8860,8,Old_Activity_Found (16 days ago)
9220,9,Old_Activity_Found (20 days ago)
9169,10,Old_Activity_Found (35 days ago)
9152,10,Old_Activity_Found (35 days ago)
9220,10,Old_Activity_Found (20 days ago)
9169,10,Old_Activity_Found (34 days ago)
9152,10,Old_Activity_Found (34 days ago)
9220,7,Old_Activity_Found (20 days ago)
9169,10,Old_Activity_Found (34 days ago)
9152,10,Old_Activity_Found (34 days ago)
9220,3,Old_Activity_Found (20 days ago)
9169,3,Old_Activity_Found (34 days ago)
9152,3,Old_Activity_Found (34 days ago)
9169,9,Old_Activity_Found (34 days ago)
9152,10,Old_Activity_Found (34 days ago)
8609,10,Active_Submission (Lag: 265.66h) - \mod_assign\event\assessable_submitted
9151,6,Active_Submission (Lag: 279.92h) - \mod_assign\event\assessable_submitted
9151,7,Active_Submission (Lag: 279.85h) - \mod_assign\event\assessable_submitted
9151,9,Active_Submission (Lag: 261.3h) - \mod_assign\event\assessable_submitted
9151,10,Active_Submission (Lag: 279.32h) - \mod_assign\event\assessable_submitted
8860,3,Old_Activity_Found (16 days ago)
8860,7,Old_Activity_Found (16 days ago)
8670,9,Old_Activity_Found (19 days ago)
9220,9,Old_Activity_Found (21 days ago)
9220,7,Old_Activity_Found (21 days ago)
9220,7,Old_Activity_Found (21 days ago)
8670,7,Old_Activity_Found (18 days ago)
8860,7,Old_Activity_Found (16 days ago)
9220,10,Old_Activity_Found (21 days ago)
9220,10,Old_Activity_Found (21 days ago)
8860,7,Old_Activity_Found (16 days ago)
9109,10,Old_Activity_Found (27 days ago)
9220,9,Old_Activity_Found (21 days ago)
8860,10,Old_Activity_Found (16 days ago)
9109,9,Old_Activity_Found (27 days ago)
9109,10,Old_Activity_Found (27 days ago)
9109,10,Old_Activity_Found (27 days ago)
9109,10,Old_Activity_Found (26 days ago)
9109,9,Old_Activity_Found (27 days ago)
9109,10,Old_Activity_Found (26 days ago)
9109,10,Old_Activity_Found (26 days ago)
9109,10,Old_Activity_Found (26 days ago)
9109,10,Old_Activity_Found (26 days ago)
9109,10,Old_Activity_Found (27 days ago)
9109,10,Old_Activity_Found (26 days ago)
9109,6,Old_Activity_Found (26 days ago)
9109,8,Old_Activity_Found (27 days ago)
8609,10,Active_Submission (Lag: 264.36h) - \mod_assign\event\assessable_submitted
8609,10,Active_Submission (Lag: 264.22h) - \mod_assign\event\assessable_submitted
8609,9,Active_Submission (Lag: 265.73h) - \mod_assign\event\assessable_submitted
8609,7,Active_Submission (Lag: 265.13h) - \mod_assign\event\assessable_submitted
8609,10,Active_Submission (Lag: 243.66h) - \mod_assign\event\assessable_submitted
8609,10,Active_Submission (Lag: 243.11h) - \mod_assign\event\assessable_submitted
8609,10,Active_Submission (Lag: 242.02h) - \mod_assign\event\assessable_submitted
8609,10,Active_Submission (Lag: 241.84h) - \mod_assign\event\assessable_submitted
8609,10,Active_Submission (Lag: 244.75h) - \mod_assign\event\assessable_submitted
8609,10,Active_Submission (Lag: 244.32h) - \mod_assign\event\assessable_submitted
8609,9,Active_Submission (Lag: 264.49h) - \mod_assign\event\assessable_submitted
9183,10,Old_Activity_Found (61 days ago)
9183,10,Old_Activity_Found (61 days ago)
