userid,UMAP1,UMAP2,cluster
8609,17.338963,13.533645,0
8670,16.564558,12.91697,0
8671,15.479682,14.522313,1
8860,15.393569,15.153657,1
8964,15.897253,14.83089,1
9043,17.21967,12.859178,0
9109,17.958664,13.074703,0
9146,17.642483,14.169033,0
9151,16.79125,14.173224,0
9152,15.952137,12.91091,0
9169,16.94837,12.218235,0
9183,17.222332,14.805958,0
9220,18.318851,13.568764,0
9227,15.554747,13.732369,0
9260,16.247484,13.821374,0
